tsne1,tsne2,tsne3,tsne_clusters
2.2006853,5.0823283,-9.534919,0
-6.1198077,7.4455824,-4.941215,0
-2.8026648,-9.367451,0.3421399,1
0.5868866,-3.6572256,-2.6259315,1
1.1600419,-8.233749,0.15288049,1
1.0904691,6.6943126,-0.7257313,0
0.059324123,8.56536,4.9866548,3
-2.494324,6.692758,9.831209,3
10.066505,5.084376,0.29202175,2
4.748162,5.2692194,-10.289879,0
-9.156137,-0.9715094,-3.0444624,1
4.5366497,7.46131,-1.9933469,0
-2.987927,-3.5661438,-4.341225,1
10.823316,3.1463513,-1.1578201,2
2.737465,-1.1946247,-11.046251,0
-1.815593,-0.7519414,-8.104207,0
1.8016994,5.0187,8.925097,3
1.463097,-1.4599108,-9.178275,0
7.276466,-4.7426205,-3.6257253,2
0.31206954,-6.3944197,-7.0711684,1
3.5793405,-1.1255141,4.539782,2
-0.7237366,4.667451,-8.765447,0
3.484272,4.0807967,7.3162985,3
-1.3297105,-2.7157192,-2.73665,1
-2.4713862,6.8735185,9.552176,3
6.539631,-6.985832,3.4953096,2
5.3795247,-0.34487966,-6.978813,0
-7.731858,-8.585319,-2.2902827,1
-1.3779868,-0.2785146,2.4409122,3
1.6369009,6.8019156,8.298553,3
2.586693,-0.26232412,-10.043169,0
6.6813555,2.1834352,-6.2587056,0
5.8214006,4.810917,-5.351959,0
-6.941398,3.7089632,-5.240385,0
3.7600675,-2.99595,-7.476269,0
-7.2196946,-4.482943,-6.0458393,1
-0.19049297,-6.485827,-6.019192,1
-3.8235319,4.8171077,-1.9238396,0
-3.7826853,4.6731634,7.208745,3
0.4398416,8.0407915,7.1302204,3
7.6038713,4.283451,4.9893026,2
-2.31614,-3.0773427,-1.9188316,1
0.09796622,2.4495678,2.0862925,3
4.723294,2.8787482,-1.5445002,2
-7.4585657,-9.21052,-2.1023986,1
0.01012777,-10.384481,3.113714,1
-0.9671473,0.5948403,1.2923921,3
-4.924274,9.287141,3.1598823,3
-2.8628736,5.5990877,-3.257807,0
1.9414713,-3.0940235,-1.5354676,1
